class	vtable	base_classes	slot_count
vtable_008d0a24	0x008d0a24		7
vtable_008d0a60	0x008d0a60		6
vtable_008d0a80	0x008d0a80		18
vtable_008d0ad0	0x008d0ad0		64
ZTUIContextList	0x008d0bd0		14
vtable_008d0c0c	0x008d0c0c		11
vtable_008d0c3c	0x008d0c3c		10
vtable_008d0c68	0x008d0c68		14
vtable_008d0cb4	0x008d0cb4		7
vtable_008d0cf0	0x008d0cf0		6
vtable_008d0d10	0x008d0d10		18
vtable_008d0d60	0x008d0d60		71
BFKeyValObj	0x008d0e7c		13
ZTZoopediaTOC	0x008d0f90		14
vtable_008d0fcc	0x008d0fcc		11
vtable_008d0ffc	0x008d0ffc		9
vtable_008d1028	0x008d1028		14
vtable_008d1074	0x008d1074		7
vtable_008d10b0	0x008d10b0		6
vtable_008d10d0	0x008d10d0		18
vtable_008d1120	0x008d1120		48
vtable_008d11ec	0x008d11ec		11
vtable_008d121c	0x008d121c		11
vtable_008d1258	0x008d1258		4
vtable_008d1278	0x008d1278		14
vtable_008d12c4	0x008d12c4		7
vtable_008d1300	0x008d1300		6
vtable_008d1320	0x008d1320		18
vtable_008d1370	0x008d1370		49
BFNullEvent	0x008d1438		33
vtable_008d192c	0x008d192c		11
vtable_008d195c	0x008d195c		11
vtable_008d1998	0x008d1998		7
vtable_008d19b8	0x008d19b8		14
vtable_008d1a04	0x008d1a04		7
vtable_008d1a40	0x008d1a40		6
vtable_008d1a60	0x008d1a60		18
vtable_008d1ab0	0x008d1ab0		46
ZTZooSurveyComponent	0x008d1bd0		14
vtable_008d1c0c	0x008d1c0c		11
vtable_008d1c3c	0x008d1c3c		10
vtable_008d1c68	0x008d1c68		14
vtable_008d1cb4	0x008d1cb4		7
vtable_008d1cf0	0x008d1cf0		6
vtable_008d1d10	0x008d1d10		18
vtable_008d1d60	0x008d1d60		48
ZTCDCheck	0x008d1ed0		23
ZTDevComponent	0x008d1f30		23
ZTEconomyMgr	0x008d21e0		27
ZTTransaction	0x008d2250		28
ZTEconomyComponentBase	0x008d22c0		52
ZTEconomyComponentHistoryBase	0x008d2390		56
ZTEconomyComponent	0x008d2470		57
ZTEconomyComponentSimple	0x008d2558		57
ZTEconomyComponentGuest	0x008d2640		53
ZTEconomyComponentStub	0x008d2718		52
ZTEconomyInfo	0x008d27e8		31
BFGTransaction	0x008d2868		28
BFGEconomyTransactionData	0x008d28d8		13
BFGEconomyData	0x008d290c		14
ZTEntityCrater	0x008d2988		25
ZTEntitySelector	0x008d2a48		25
ZTEULACheck	0x008d2bf0		23
ZTExpandoComponent	0x008d2d18		21
ZTExtraPaths	0x008d2d90		23
ZTFavoriteAnimalMgr	0x008d2e84		27
ZTFeedbackMgr	0x008d32e0		26
ZTFeedbackData	0x008d3348		5
vtable_008d3360	0x008d3360		7
vtable_008d338c	0x008d338c		9
ZTFeedbackString	0x008d33b0		13
ZTThoughtInfo	0x008d33e4		14
vtable_008d3420	0x008d3420		11
ZTMessageInfo	0x008d344c		13
ZTFeedbackDataSet	0x008d3480		13
ZTSharedFeedbackData	0x008d34bc		20
vtable_008d3518	0x008d3518		43
ZTFence	0x008d3760		34
vtable_008d37ec	0x008d37ec		13
ZTFenceEntity	0x008d38b0		31
vtable_008d3938	0x008d3938		4
vtable_008d3954	0x008d3954		11
vtable_008d3988	0x008d3988		7
ZTFenceSegmentInfo	0x008d39d8		23
ZTFPSCameraGroundFitComponent	0x008d3b30		44
vtable_008d3c28	0x008d3c28		54
BFXMLObj	0x008d3d00		13
ZTGate	0x008d3da8		27
ZTGestureComponent	0x008d4120		25
ZTGestureMgr	0x008d4338		25
ZTGlobe	0x008d4490		26
vtable_008d44fc	0x008d44fc		9
vtable_008d4528	0x008d4528		14
vtable_008d4574	0x008d4574		7
